,solarRadiationHigh,humidityAvg,tempAvg,windspeedAvg,precipRate,precipTotal
2024-11-27 08:39:10,11.1,94,8,0,0.0,0.0
2024-11-27 08:44:39,12.6,94,8,0,0.0,0.0
2024-11-27 08:49:00,14.5,94,8,0,0.0,0.0
2024-11-27 08:54:25,18.2,94,8,0,0.0,0.0
2024-11-27 08:59:54,18.6,94,8,0,0.0,0.0
2024-11-27 09:04:15,20.1,94,8,0,0.0,0.0
2024-11-27 09:09:44,23.7,94,8,0,0.0,0.0
2024-11-27 09:14:05,25.2,94,8,0,0.0,0.0
2024-11-27 09:19:30,24.5,94,8,0,0.0,0.0
2024-11-27 09:23:54,30.8,95,8,0,0.0,0.0
2024-11-27 09:29:20,31.7,94,8,0,0.0,0.0
2024-11-27 09:34:49,34.0,94,8,0,0.0,0.0
2024-11-27 09:39:10,39.5,95,8,0,0.0,0.0
2024-11-27 09:44:39,40.0,94,8,0,0.0,0.0
2024-11-27 09:49:00,36.5,94,8,0,0.0,0.0
2024-11-27 09:54:25,36.2,93,8,0,0.0,0.0
2024-11-27 09:59:54,35.9,93,8,0,0.0,0.0
2024-11-27 10:04:15,35.0,92,8,0,0.0,0.0
2024-11-27 10:09:44,35.4,91,8,0,0.0,0.0
2024-11-27 10:14:05,35.2,90,8,0,0.0,0.0
2024-11-27 10:19:30,35.2,89,9,0,0.0,0.0
2024-11-27 10:23:54,34.7,88,9,0,0.0,0.0
2024-11-27 10:29:20,34.9,87,9,0,0.0,0.0
2024-11-27 10:34:49,36.0,86,9,0,0.0,0.0
2024-11-27 10:39:10,36.2,86,9,0,0.0,0.0
2024-11-27 10:44:39,35.4,85,9,0,0.0,0.0
2024-11-27 10:49:00,35.0,84,9,0,0.0,0.0
2024-11-27 10:54:25,35.0,84,9,0,0.0,0.0
2024-11-27 10:59:54,34.9,83,9,0,0.0,0.0
2024-11-27 11:04:15,35.2,83,9,1,0.0,0.0
2024-11-27 11:09:44,35.9,82,9,0,0.0,0.0
2024-11-27 11:14:05,35.5,82,9,0,0.0,0.0
2024-11-27 11:19:30,34.5,81,9,0,0.0,0.0
2024-11-27 11:23:54,33.9,80,9,0,0.0,0.0
2024-11-27 11:29:20,33.7,80,10,0,0.0,0.0
2024-11-27 11:34:49,33.7,80,10,0,0.0,0.0
2024-11-27 11:39:10,33.5,79,10,0,0.0,0.0
2024-11-27 11:44:39,34.0,79,10,0,0.0,0.0
2024-11-27 11:49:00,34.0,78,10,0,0.0,0.0
2024-11-27 11:54:25,34.0,78,10,0,0.0,0.0
2024-11-27 11:59:54,33.7,78,10,0,0.0,0.0
2024-11-27 12:04:15,32.7,77,10,0,0.0,0.0
2024-11-27 12:09:45,31.3,77,11,0,0.0,0.0
2024-11-27 12:14:05,30.7,76,11,0,0.0,0.0
2024-11-27 12:19:30,30.0,76,11,0,0.0,0.0
2024-11-27 12:23:55,29.7,76,11,0,0.0,0.0
2024-11-27 12:29:20,29.7,76,11,0,0.0,0.0
2024-11-27 12:34:50,29.2,76,11,0,0.0,0.0
2024-11-27 12:39:10,28.7,76,11,0,0.0,0.0
2024-11-27 12:44:39,28.5,75,11,0,0.0,0.0
2024-11-27 12:49:00,28.2,75,11,0,0.0,0.0
2024-11-27 12:54:25,28.1,75,11,0,0.0,0.0
2024-11-27 12:59:55,28.1,74,11,0,0.0,0.0
2024-11-27 13:04:15,27.7,74,12,1,0.0,0.0
2024-11-27 13:09:45,27.2,74,12,0,0.0,0.0
2024-11-27 13:14:05,26.6,73,12,0,0.0,0.0
2024-11-27 13:19:30,26.6,73,12,0,0.0,0.0
2024-11-27 13:23:55,26.6,72,12,0,0.0,0.0
2024-11-27 13:29:20,26.5,71,12,0,0.0,0.0
2024-11-27 13:34:50,26.3,71,12,0,0.0,0.0
2024-11-27 13:39:10,26.0,71,12,0,0.0,0.0
2024-11-27 13:44:39,25.7,71,12,0,0.0,0.0
2024-11-27 13:49:00,25.3,70,12,0,0.0,0.0
2024-11-27 13:54:25,25.0,70,12,0,0.0,0.0
2024-11-27 13:59:55,25.1,70,12,0,0.0,0.0
2024-11-27 14:04:15,24.5,69,12,0,0.0,0.0
2024-11-27 14:09:45,24.1,69,13,0,0.0,0.0
2024-11-27 14:14:05,23.7,67,13,0,0.0,0.0
2024-11-27 14:19:30,23.5,67,13,0,0.0,0.0
2024-11-27 14:23:55,23.2,67,13,0,0.0,0.0
2024-11-27 14:29:20,22.7,66,13,0,0.0,0.0
2024-11-27 14:34:50,22.5,65,13,0,0.0,0.0
2024-11-27 14:39:10,22.2,66,13,0,0.0,0.0
2024-11-27 14:44:39,21.8,66,13,0,0.0,0.0
2024-11-27 14:49:00,21.7,66,13,0,0.0,0.0
2024-11-27 14:54:25,21.6,66,13,0,0.0,0.0
2024-11-27 14:59:55,21.0,66,13,0,0.0,0.0
2024-11-27 15:04:15,20.5,66,13,0,0.0,0.0
2024-11-27 15:09:45,20.1,66,13,0,0.0,0.0
2024-11-27 15:14:05,19.5,66,13,0,0.0,0.0
2024-11-27 15:19:37,19.3,65,13,0,0.0,0.0
2024-11-27 15:24:01,18.5,64,13,0,0.0,0.0
2024-11-27 15:29:26,17.8,64,13,0,0.0,0.0
2024-11-27 15:34:54,17.6,63,13,0,0.0,0.0
2024-11-27 15:39:15,17.0,63,13,0,0.0,0.0
2024-11-27 15:44:44,16.5,65,13,0,0.0,0.0
2024-11-27 15:49:05,15.6,65,13,0,0.0,0.0
2024-11-27 15:54:30,15.1,65,13,0,0.0,0.0
2024-11-27 15:58:54,14.1,65,13,0,0.0,0.0
2024-11-27 16:04:20,13.3,65,13,0,0.0,0.0
2024-11-27 16:09:49,12.3,66,12,0,0.0,0.0
2024-11-27 16:14:10,11.3,66,12,0,0.0,0.0
2024-11-27 16:19:35,10.3,66,12,0,0.0,0.0
2024-11-27 16:24:00,9.0,67,12,0,0.0,0.0
2024-11-27 16:29:32,8.0,68,12,0,0.0,0.0
2024-11-27 16:33:56,6.6,68,12,0,0.0,0.0
2024-11-27 16:39:23,5.4,68,12,0,0.0,0.0
2024-11-27 16:44:52,4.0,70,12,0,0.0,0.0
2024-11-27 16:49:12,2.9,71,12,0,0.0,0.0
2024-11-27 16:54:38,2.0,72,12,0,0.0,0.0
2024-11-27 16:59:02,1.2,73,11,0,0.0,0.0
2024-11-27 17:04:28,0.7,74,11,0,0.0,0.0
2024-11-27 17:09:57,0.3,75,11,0,0.0,0.0
2024-11-27 17:14:17,0.1,75,11,0,0.0,0.0
2024-11-27 17:19:43,0.0,76,11,0,0.0,0.0
2024-11-27 17:24:07,0.0,77,11,0,0.0,0.0
2024-11-27 17:29:33,0.0,77,10,0,0.0,0.0
2024-11-27 17:33:57,0.0,78,10,0,0.0,0.0
2024-11-27 17:39:23,0.0,78,10,0,0.0,0.0
2024-11-27 17:44:52,0.0,79,10,0,0.0,0.0
2024-11-27 17:49:12,0.0,79,10,0,0.0,0.0
2024-11-27 17:54:37,0.0,80,10,0,0.0,0.0
2024-11-27 17:59:02,0.0,80,10,0,0.0,0.0
2024-11-27 18:04:28,0.0,83,10,0,0.0,0.0
2024-11-27 18:09:57,0.0,83,11,0,0.0,0.0
2024-11-27 18:14:24,0.0,81,12,0,0.0,0.0
2024-11-27 18:19:50,0.0,74,13,0,0.0,0.0
2024-11-27 18:24:15,0.0,72,12,0,0.0,0.0
2024-11-27 18:29:41,0.0,76,11,0,0.0,0.0
2024-11-27 18:34:05,0.0,77,11,0,0.0,0.0
2024-11-27 18:39:36,0.0,78,10,0,0.0,0.0
2024-11-27 18:43:56,0.0,79,10,0,0.0,0.0
2024-11-27 18:49:25,0.0,80,10,0,0.0,0.0
2024-11-27 18:54:51,0.0,81,10,0,0.0,0.0
2024-11-27 18:59:14,0.0,81,10,0,0.0,0.0
2024-11-27 19:04:40,0.0,81,10,0,0.0,0.0
2024-11-27 19:09:01,0.0,82,10,0,0.0,0.0
2024-11-27 19:14:30,0.0,82,10,0,0.0,0.0
2024-11-27 19:19:55,0.0,82,9,0,0.0,0.0
2024-11-27 19:24:20,0.0,83,9,0,0.0,0.0
2024-11-27 19:29:45,0.0,83,9,0,0.0,0.0
2024-11-27 19:34:09,0.0,83,9,0,0.0,0.0
2024-11-27 19:39:35,0.0,84,9,0,0.0,0.0
2024-11-27 19:43:55,0.0,84,9,0,0.0,0.0
2024-11-27 19:49:25,0.0,84,9,0,0.0,0.0
2024-11-27 19:54:50,0.0,84,9,0,0.0,0.0
2024-11-27 19:59:14,0.0,84,9,0,0.0,0.0
2024-11-27 20:04:40,0.0,84,9,0,0.0,0.0
2024-11-27 20:09:01,0.0,84,9,0,0.0,0.0
2024-11-27 20:14:30,0.0,85,9,0,0.0,0.0
2024-11-27 20:19:55,0.0,85,9,0,0.0,0.0
2024-11-27 20:24:20,0.0,85,9,0,0.0,0.0
2024-11-27 20:29:45,0.0,86,9,0,0.0,0.0
2024-11-27 20:34:09,0.0,86,9,0,0.0,0.0
2024-11-27 20:39:35,0.0,85,9,0,0.0,0.0
2024-11-27 20:43:55,0.0,85,9,0,0.0,0.0
2024-11-27 20:49:25,0.0,85,9,0,0.0,0.0
2024-11-27 20:54:50,0.0,85,9,0,0.0,0.0
2024-11-27 20:59:14,0.0,86,9,0,0.0,0.0
2024-11-27 21:04:40,0.0,86,9,0,0.0,0.0
2024-11-27 21:09:01,0.0,86,9,0,0.0,0.0
2024-11-27 21:14:30,0.0,87,9,0,0.0,0.0
2024-11-27 21:19:55,0.0,86,9,0,0.0,0.0
2024-11-27 21:24:20,0.0,86,9,0,0.0,0.0
2024-11-27 21:29:45,0.0,86,9,0,0.0,0.0
2024-11-27 21:34:09,0.0,85,9,0,0.0,0.0
2024-11-27 21:39:35,0.0,85,9,0,0.0,0.0
2024-11-27 21:43:55,0.0,85,9,0,0.0,0.0
2024-11-27 21:49:25,0.0,85,9,0,0.0,0.0
2024-11-27 21:54:50,0.0,86,9,0,0.0,0.0
2024-11-27 21:59:14,0.0,86,8,0,0.0,0.0
2024-11-27 22:04:40,0.0,87,9,0,0.0,0.0
2024-11-27 22:09:01,0.0,86,9,0,0.0,0.0
2024-11-27 22:14:30,0.0,87,9,0,0.0,0.0
2024-11-27 22:19:55,0.0,87,9,0,0.0,0.0
2024-11-27 22:24:20,0.0,87,9,0,0.0,0.0
2024-11-27 22:29:45,0.0,87,8,0,0.0,0.0
2024-11-27 22:34:09,0.0,87,8,0,0.0,0.0
2024-11-27 22:39:35,0.0,87,8,0,0.0,0.0
2024-11-27 22:43:55,0.0,87,8,0,0.0,0.0
2024-11-27 22:49:25,0.0,87,8,0,0.0,0.0
2024-11-27 22:54:50,0.0,87,8,0,0.0,0.0
2024-11-27 22:59:14,0.0,87,8,0,0.0,0.0
2024-11-27 23:04:40,0.0,87,8,0,0.0,0.0
2024-11-27 23:09:01,0.0,88,8,0,0.0,0.0
2024-11-27 23:14:30,0.0,89,8,0,0.0,0.0
2024-11-27 23:19:55,0.0,89,8,0,0.0,0.0
2024-11-27 23:24:20,0.0,89,8,0,0.0,0.0
2024-11-27 23:29:45,0.0,88,8,0,0.0,0.0
2024-11-27 23:34:09,0.0,87,8,0,0.0,0.0
2024-11-27 23:39:35,0.0,87,8,0,0.0,0.0
2024-11-27 23:43:55,0.0,87,8,0,0.0,0.0
2024-11-27 23:49:25,0.0,88,8,0,0.0,0.0
2024-11-27 23:54:50,0.0,88,8,0,0.0,0.0
2024-11-27 23:59:14,0.0,88,8,0,0.0,0.0
2024-11-28 00:04:48,0.0,88,8,0,0.0,0.0
2024-11-28 00:09:08,0.0,89,8,0,0.0,0.0
2024-11-28 00:14:43,0.0,90,7,0,0.0,0.0
2024-11-28 00:19:03,0.0,89,8,0,0.0,0.0
2024-11-28 00:24:32,0.0,89,8,0,0.0,0.0
2024-11-28 00:29:58,0.0,89,8,0,0.0,0.0
2024-11-28 00:34:22,0.0,89,8,0,0.0,0.0
2024-11-28 00:39:48,0.0,88,8,0,0.0,0.0
2024-11-28 00:44:08,0.0,89,8,0,0.0,0.0
2024-11-28 00:49:43,0.0,89,8,0,0.0,0.0
2024-11-28 00:54:03,0.0,89,8,0,0.0,0.0
2024-11-28 00:59:32,0.0,89,8,0,0.0,0.0
2024-11-28 01:04:58,0.0,90,7,0,0.0,0.0
2024-11-28 01:09:18,0.0,90,7,0,0.0,0.0
2024-11-28 01:14:47,0.0,90,7,0,0.0,0.0
2024-11-28 01:19:08,0.0,90,8,0,0.0,0.0
2024-11-28 01:24:37,0.0,90,7,0,0.0,0.0
2024-11-28 01:28:58,0.0,90,7,0,0.0,0.0
2024-11-28 01:34:27,0.0,90,7,0,0.0,0.0
2024-11-28 01:39:53,0.0,91,7,0,0.0,0.0
2024-11-28 01:44:13,0.0,91,7,0,0.0,0.0
2024-11-28 01:49:43,0.0,91,7,0,0.0,0.0
2024-11-28 01:54:03,0.0,91,7,0,0.0,0.0
2024-11-28 01:59:32,0.0,91,7,0,0.0,0.0
2024-11-28 02:04:58,0.0,91,7,0,0.0,0.0
2024-11-28 02:09:18,0.0,90,7,0,0.0,0.0
2024-11-28 02:14:48,0.0,90,7,0,0.0,0.0
2024-11-28 02:19:08,0.0,90,7,0,0.0,0.0
2024-11-28 02:24:37,0.0,90,7,0,0.0,0.0
2024-11-28 02:28:58,0.0,90,7,0,0.0,0.0
2024-11-28 02:34:27,0.0,90,7,0,0.0,0.0
2024-11-28 02:39:53,0.0,90,7,0,0.0,0.0
2024-11-28 02:44:13,0.0,90,7,0,0.0,0.0
2024-11-28 02:49:43,0.0,90,7,0,0.0,0.0
2024-11-28 02:54:03,0.0,90,7,0,0.0,0.0
2024-11-28 02:59:32,0.0,90,7,0,0.0,0.0
2024-11-28 03:04:58,0.0,90,7,0,0.0,0.0
2024-11-28 03:09:18,0.0,91,7,0,0.0,0.0
2024-11-28 03:14:48,0.0,91,7,0,0.0,0.0
2024-11-28 03:19:08,0.0,92,7,0,0.0,0.0
2024-11-28 03:24:37,0.0,92,7,0,0.0,0.0
2024-11-28 03:28:58,0.0,91,7,0,0.0,0.0
2024-11-28 03:34:27,0.0,90,7,0,0.0,0.0
2024-11-28 03:39:53,0.0,90,7,0,0.0,0.0
2024-11-28 03:44:13,0.0,90,7,0,0.0,0.0
2024-11-28 03:49:43,0.0,90,7,0,0.0,0.0
2024-11-28 03:54:03,0.0,91,7,0,0.0,0.0
2024-11-28 03:59:32,0.0,91,7,0,0.0,0.0
2024-11-28 04:04:58,0.0,90,7,0,0.0,0.0
2024-11-28 04:09:18,0.0,90,7,0,0.0,0.0
2024-11-28 04:14:48,0.0,90,7,0,0.0,0.0
2024-11-28 04:19:08,0.0,90,7,0,0.0,0.0
2024-11-28 04:24:37,0.0,91,7,0,0.0,0.0
2024-11-28 04:28:58,0.0,90,7,0,0.0,0.0
2024-11-28 04:34:27,0.0,90,7,0,0.0,0.0
2024-11-28 04:39:53,0.0,90,6,0,0.0,0.0
